category,section,subsection,title,link_url,link_status
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,1. Vinayapitakaya | විනය පිටකය,SP_VP1_Parajika Pali – පාරාජිකා පාළි,https://mega.nz/file/365wxJCL#shEV45KNqOh5g_W01n-_4YsdZ_BUH14ftC95oWGvu8M,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,1. Vinayapitakaya | විනය පිටකය,SP_VP2_Pachiththiya Pali 01 – පාචිත්තිය පාළි 01,https://mega.nz/file/GqhmHLRZ#AjL9BygyTpuiRRGWhi6isMBENlpl6Z9MDxhsgdd3yLo,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,1. Vinayapitakaya | විනය පිටකය,SP_VP3_Pachiththiya Pali 02 – පාචිත්තිය පාළි 02,https://mega.nz/file/v24yBDDA#ncs0RvMTTKh-M5uE0LWqV_VoH8LS8F1nOsUQvEPyvMU,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,1. Vinayapitakaya | විනය පිටකය,SP_VP4_Mahavagga Pali 01 – මහාවග්ග පාළි 01,https://mega.nz/file/yzgwFLyJ#-gPZGjecmR0AXCB6liHv_I17IYENBrO-MwIMrDwupGw,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,1. Vinayapitakaya | විනය පිටකය,SP_VP5_Mahavagga Pali 02 – මහාවග්ග පාළි 02,https://mega.nz/file/6ipg3RCS#-_ufiJ6kAFa-g2WcoAmCj3DkGPA71VVJQuK9zosfiC8,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,1. Vinayapitakaya | විනය පිටකය,SP_VP6_Chulavagga Pali 01 – චුල්ලවග්ග පාළි 01,https://mega.nz/file/7vwi2JZJ#MHkkast1CDA6mFhcJiVip3bJ8SZunT1tudF3mYSf4jI,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,1. Vinayapitakaya | විනය පිටකය,SP_VP7_Chulavagga Pali 02 – චුල්ලවග්ග පාළි 02,https://mega.nz/file/SyxWxBrb#8XDp4L9FH913GgdnSfGE-GvVEaKKs9fr4od49rcIInA,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,1. Vinayapitakaya | විනය පිටකය,SP_VP8_Parivara Pali 01 – පරිවාර පාළි 01,https://mega.nz/file/Ky5GADTD#MfQiqsorpGN1JG-A8ImgSCr2bL8QuZK4_4DCGN16l5s,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,1. Vinayapitakaya | විනය පිටකය,SP_VP9_Parivara Pali 02 – පරිවාර පාළි 02,https://mega.nz/file/KrxWjTYb#bS8wGEWyuCf3TEyOcPzW0qJoOCrWPeApQWy--clJlO0,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,Dīghanikāya,SP_DN1_Dighanikaya 01 – දීඝ නිකාය 01,https://mega.nz/file/inhEyZYJ#3HPpoJENqO4hagXXpwX9mue4lkxD8f_tM0TAMetowkk,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,Dīghanikāya,SP_DN2_Dighanikaya 02 – දීඝ නිකාය 02,https://mega.nz/file/ej4yUZTa#oKnCrp2O-qCUEuWT2t3qg31XTROM_no7Pzhq3OAdBHk,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,Dīghanikāya,SP_DN3_Dighanikaya 03 – දීඝ නිකාය 03,https://mega.nz/file/euogFbBB#Dsr3FQ7f8pWU2HKQmFpuzhfsdoaQKBPm8qMjWXKPLEQ,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,Majjhimanikāya,SP_MN1_Majjhimanikaya 01 – මජ්ඣිම නිකාය 01,https://mega.nz/file/O2okDBaT#e8y3XcPFAzEsnJChmvVtRzVATiuC0kXXQqGi1ufliLY,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,Majjhimanikāya,SP_MN2_Majjhimanikaya 02 – මජ්ඣිම නිකාය 02,https://mega.nz/file/2q5gXR5D#GqyNB-lqN7i9Xt8_h0n1wmgWOcn9soWyO76QSJuDz-g,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,Majjhimanikāya,SP_MN3_Majjhimanikaya 03 – මජ්ඣිම නිකාය 03,https://mega.nz/file/qu5kFDDL#PKQgi8AMiD1lVlmCBsTxNbMQ6ke1SMO8Dk1ocojUsqk,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,Saṃyuttanikāya,SP_SN1_Samyuttanikaya 01 – සංයුත්ත නිකාය 01,https://mega.nz/file/ruxyAbrC#4hvPw3HMR1SCtNIF2fKbjYYQhLuxSfR__kU-CkNXd8I,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,Saṃyuttanikāya,SP_SN2_Samyuttanikaya 02 – සංයුත්ත නිකාය 02,https://mega.nz/file/ui52XZpI#zBZ5O01CVvvIORYjST1Q8z7yH0lbxsDnfMo2rV7r538,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,Saṃyuttanikāya,SP_SN3_Samyuttanikaya 03 – සංයුත්ත නිකාය 03,https://mega.nz/file/bro0zbRD#sukczQqK7kcFHVkoOJetrxQgWpJo6O0VGfnITVlIv6c,available
Tripitaka (PDF),Buddha Jayanthi Pali & Sinhala Tripitaka,Saṃyuttanikāya,SP_SN4_Samyuttanikaya 04 – සංයුත්ත නිකාය 04,https://mega.nz/file/XroAjBiI#iddyydaI3AV24NITmkDzsQveFbJAPFuW6Fc82G4GKvA,available
