"සුත්‍ර නාමය",පිටක​ය,නිකා​ය,වග්ග​ය,"පෙළ පිටු අංක","PDF පෙළ පිටු අංක ","PDF පාළි​ අටුවාව","සිංහල අටුවාව","PDF සිංහල අටුවාව","PDF පාළි ටීකා","පාළි - සිංහල ටීකා"
"බ්‍රහ්මජාල සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 01","1.සීලස්කන්‍ධ වර්‍ගය","SP_DN1 - 002","""PDF"" SP_DN1 - 017","PA06_DN1 - 021","SA_DN1 - 055","""PDF"" SA_DN1 - 002","PT14_DN1 - 026 / PT17_DN4 - 107","ST_DN1 - 062"
"සාමඤ්ඤඵල සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 01","1.සීලස්කන්‍ධ වර්‍ගය","SP_DN1 - 082 ","""PDF"" SP_DN1 - 097","PA06_DN1 - 094"," SA_DN1 - 125","""PDF"" SA_DN1 - 071","PT14_DN1 - 160 / PT17_DN4 - 001","ST_DN1 - 384"
"අම්බට්ඨ සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 01","1.සීලස්කන්‍ධ වර්‍ගය","SP_DN1 - 150","""PDF"" SP_DN1 - 165","PA06_DN1 - 163","SA_DN1 - 218","""PDF"" SA_DN1 - 164","PT14_DN1 - 220 / PT17_DN4 - 101","ST_DN1 - 550"
"සෝණදණ්ඩ සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 01","1.සීලස්කන්‍ධ වර්‍ගය","SP_DN1 - 222","""PDF"" SP_DN1 - 237","PA06_DN1 - 190","SA_DN1 - 255","""PDF"" SA_DN1 - 201","PT14_DN1 - 240 / PT17_DN4 - 144","ST_DN1 - 604"
"කූටදන්ත සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 01","1.සීලස්කන්‍ධ වර්‍ගය","SP_DN1 - 248","""PDF"" SP_DN1 - 263","PA06_DN1 - 200","SA_DN1 - 269","""PDF"" SA_DN1 - 215","PT14_DN1 - 247 / PT17_DN4 - 153","ST_DN1 - 622"
"මහාලි සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 01","1.සීලස්කන්‍ධ වර්‍ගය","SP_DN1 - 324","""PDF"" SP_DN1 - 339","PA06_DN1 - 210","SA_DN1 - 284","""PDF"" SA_DN1 - 230","PT14_DN1 - 258 / PT17_DN4 - 167","ST_DN1 - 652"
"ජාලිය සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 01","1.සීලස්කන්‍ධ වර්‍ගය","SP_DN1 - 348","""PDF"" SP_DN1 - 363","PA06_DN1 - 215","SA_DN1 - 291","""PDF"" SA_DN1 - 237","PT14_DN1 - 263 / PT17_DN4 - 174","ST_DN1 - 668"
"සිංහනාද සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 01","1.සීලස්කන්‍ධ වර්‍ගය","SP_DN1 - 356","""PDF"" SP_DN1 - 371","PA06_DN1 - 217","SA_DN1 - 294","""PDF"" SA_DN1 - 240","PT14_DN1 - 265 / PT17_DN4 - 176","ST_DN1 - 674"
"පොට්ඨපාද සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 01","1.සීලස්කන්‍ධ වර්‍ගය","SP_DN1 - 388","""PDF"" SP_DN1 - 403","PA06_DN1 - 227","SA_DN1 - 307","""PDF"" SA_DN1 - 253","PT14_DN1 - 275 / PT17_DN4 - 187","ST_DN1 - 702"
"ශුභ සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 01","1.සීලස්කන්‍ධ වර්‍ගය","SP_DN1 - 438","""PDF"" SP_DN1 - 453","PA06_DN1 - 239","SA_DN1 - 325","""PDF"" SA_DN1 - 271","PT14_DN1 - 292 / PT17_DN4 - 205","ST_DN1 - 750"
"කේවට්ට සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 01","1.සීලස්කන්‍ධ වර්‍ගය","SP_DN1 - 484","""PDF"" SP_DN1 - 499","PA06_DN1 - 242","SA_DN1 - 328","""PDF"" SA_DN1 - 274","PT14_DN1 - 295 / PT17_DN4 - 208","ST_DN1 - 758"
"ලෝහිච්ච සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 01","1.සීලස්කන්‍ධ වර්‍ගය","SP_DN1 - 540","""PDF"" SP_DN1 - 555","PA06_DN1 - 246","SA_DN1 - 333","""PDF"" SA_DN1 - 279","PT14_DN1 - 301 / PT17_DN4 - 213","ST_DN1 - 772"
"තෙවිජ්ජ සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 01","1.සීලස්කන්‍ධ වර්‍ගය","SP_DN1 - 594","""PDF"" SP_DN1 - 609","PA06_DN1 - 249","SA_DN1 - 336","""PDF"" SA_DN1 - 282","PT14_DN1 - 303 / PT17_DN4 - 216","ST_DN1 - 778"
"මහාපදාන සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 02","2.මහා වර්‍ගය","SP_DN2 - 002","""PDF"" SP_DN2 - 017","PA07_DN2 - 001","SA_DN1 - 343","""PDF"" SA_DN1 - 289","PT15_DN2 - 001"," ST_DN2 - 002"
"මහානිදාන සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 02","2.මහා වර්‍ගය","SP_DN2 - 080","""PDF"" SP_DN2 - 095","PA07_DN2 - 053","SA_DN1 - 418","""PDF"" SA_DN1 - 364","PT15_DN2 - 060"," ST_DN2 - 130"
"මහාපරිනිර්වාණ සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 02","2.මහා වර්‍ගය","SP_DN2 - 110","""PDF"" SP_DN2 - 125","PA07_DN2 - 079","SA_DN1 - 451","""PDF"" SA_DN1 - 397","PT15_DN2 - 094","ST_DN2 - 202"
"මහාසුදස්සන සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 02","2.මහා වර්‍ගය","SP_DN2 - 267","""PDF"" SP_DN2 - 281","PA07_DN2 - 157","SA_DN2 - 001","""PDF"" SA_DN2 - 001","PT15_DN2 - 149"," ST_DN2 - 316"
"ජනවසභ සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 02","2.මහා වර්‍ගය","SP_DN2 - 307","""PDF"" SP_DN2 - 321","PA07_DN2 - 174"," SA_DN2 - 019","""PDF"" SA_DN2 - 019","PT15_DN2 - 159"," ST_DN2 - 334"
"මහාගෝවින්‍ද සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 02","2.මහා වර්‍ගය","SP_DN2 - 335","""PDF"" SP_DN2 - 350","PA07_DN2 - 181","SA_DN2 - 027","""PDF"" SA_DN2 - 027","PT15_DN2 - 170"," ST_DN2 - 358"
"මහාසමය සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 02","2.මහා වර්‍ගය","SP_DN2 - 383","""PDF"" SP_DN2 - 398","PA07_DN2 - 200","SA_DN2 - 048","""PDF"" SA_DN2 - 048","PT15_DN2 - 181"," ST_DN2 - 380"
"සක්කපඤ්හ සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 02","2.මහා වර්‍ගය","SP_DN2 - 397","""PDF"" SP_DN2 - 412","PA07_DN2 - 218","SA_DN2 - 067","""PDF"" SA_DN2 - 067","PT15_DN2 - 192","ST_DN2 - 400"
"මහා සතිපට්ඨාන සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 02","2.මහා වර්‍ගය","SP_DN2 - 437","""PDF"" SP_DN2 - 452","PA07_DN2 - 251","SA_DN2 - 103","""PDF"" SA_DN2 - 103","PT15_DN2 - 217","ST_DN2 - 452"
"පායාසි සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 02","2.මහා වර්‍ගය","SP_DN2 - 505","""PDF"" SP_DN2 - 520","PA07_DN2 - 300","SA_DN2 - 161","""PDF"" SA_DN2 - 161","PT15_DN2 - 274","ST_DN2 - 576"
"පාථික සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 03","3.පාථික වර්‍ගය","SP_DN3 - 003","""PDF"" SP_DN3 - 018","PA08_DN3 - 001","SA_DN2 - 167","""PDF"" SA_DN2 - 167","PT16_DN3 - 001","ST_DN3 - 002"
"උදුම්බරික සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 03","3.පාථික වර්‍ගය","SP_DN3 - 059","""PDF"" SP_DN3 - 074","PA08_DN3 - 011","SA_DN2 - 180","""PDF"" SA_DN2 - 180","PT16_DN3 - 010","ST_DN3 - 024"
"චක්‍රවර්ති සිංහනාද සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 03","3.පාථික වර්‍ගය","SP_DN3 - 097","""PDF"" SP_DN3 - 112","PA08_DN3 - 020","SA_DN2 - 190","""PDF"" SA_DN2 - 190","PT16_DN3 - 018","ST_DN3 - 044"
"අග්ගඤ්ඤ සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 03","3.පාථික වර්‍ගය","SP_DN3 - 137","""PDF"" SP_DN3 - 151","PA08_DN3 - 031","SA_DN2 - 201","""PDF"" SA_DN2 - 201","PT16_DN3 - 027","ST_DN3 - 062"
"සම්පසාදනීය සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 03","3.පාථික වර්‍ගය","SP_DN3 - 167","""PDF"" SP_DN3 - 182","PA08_DN3 - 041","SA_DN2 - 212","""PDF"" SA_DN2 - 212","PT16_DN3 - 039","ST_DN3 - 090"
"පාසාදික සූත්‍රය","සුත්ත පිටකය","දීඝනිකාය 03","3.පාථික වර්‍ගය","SP_DN3 - 195","""PDF"" SP_DN3 - 210","PA08_DN3 - 066","SA_DN2 - 238","""PDF"" SA_DN2 - 238","PT16_DN3 - 066"," ST_DN3 - 150"
