"පාලි වචනය","සිංහල පරිවර්තනය"
"සාරීරික ","(3) ශරීරය පිළිබඳ; ශරීරයට අයත්."
සාරුප්ප,"(න) සමානරූපස්වභාවය, සාරුප්‍ය."
"සාරුප්ප ","(3) යෝග්‍ය; සුදුසු."
"සාරෙතබ්බ ","(3) සිහි කරවිය යුතු."
සාරෙති,"(ක්‍රි) (d) (භු) සර, ගතියං, යෑමෙහි+ණෙ+ති) ගමන්කරවයි, යවයි."
සාරෙති,"(සර+ණෙ) සිහි කරවයි; හසුරුවයි."
"සාරෙන්ත ","(3) සිහි කරවන; හසුරුවමින්."
සාල,"(පු) ගස; මස්සිනා හෙවත් භාර්යාවගේ සොහොයුරා; සල් ගස."
සාල,"(පු) මස්සිනා, පවුර, සල්රුක, වෘක්ෂය"
සාලක,"(පු) මස්සිනා."
සාලකකිමි,"(පු) කෘමිවර්‍ගයක්."
සාලට්ඨී,"(ඉ) තරුණ තල්ගස; සල් පැලය."
සාලපණ්ණී,"(ඉ) අස්වැන්න (ගස)."
සාලපණ්හි,"(ඉ) අස්වැන්න."
සාලමාලක,"(න) සල්ගස්වලින් වටවූ ස්ථානය."
සාලය,"(ති) ඇලීම් සහිත, රාගාන්විත."
"සාලය ","(3) ආලය සහිත."
සාලරුක්ඛ,"(පු) සල් ගස."
සාලරුක්ඛ,"(පු) සල්රුක."
සාලලට්ඨි,"(ඉ) සල්රුක, ශාලවෘක්ෂය."
සාලව,"(පු) ලොත්, ලොධ්‍ර‍."
සාලවන,"(න) සල් උයන."
සාලවන,"(න) සල්වනය."
සාලා,"(ඉ) මඩුව; ශාලාව."
සාලා,"(ඉ) ශාලාව, ගෘහය."
සාලාකිය,"(න) තඹ කූරු ආදිය යොදා කරන වෙදකම."
සාලාකිය,"(පු) සැත්කටුලාකරණ, වෙදකම, ශල්‍යකර්‍මය."
සාලි,"(පු) ඇල් වී."
සාලි,"හැල් වී ඇල්ධාන්‍ය."
සාලිකා,"(ඉ) මයිනා."
සාලිකා,"(ඉ) ශාරිකා, සැළලිහිණියා."
සාලික්ඛෙත්ත,"(න) ඇල් කෙත; ඇල් වී කුඹුර."
සාලික්ඛෙත්ත,"(න) ඇල්කෙත, ඇල්හේන."
සාලිගබ්භ,"(පු) නොපැසුණු ඇල් කරල."
සාලිත්තකසිප්ප,"(න) ගල් විදීමේ සිල්පය."
සාලිභත්ත,"(න) ඇල් හාලේ බත."
සාලිසූක,"(න) ඇල්වී නණ්ඩුව, ඇල්වීකොස්ස."
සාලුක,"(න) මානෙල් අල."
සාලුකපාන,"(න) උපුල් අලවලින් කළ පානය."
සාලූක,"(න) උපුල් අල."
සාලූර,"(පු) බෙල්ලා, මැඩියා."
සාලෙක,"(ති) හාල්වලට අයිති."
සාලෙය්‍යක,"(පු) එනම් ජනපදවැසියා."
සාලොක,"(න) දර්‍ශනය, පෙනුම, දැකීම, “සාලොකෙ තිට්ඨති”"
සාලොහිත,"(පු) සහලේනෑයා, නෑදෑයා."
සාව,"(න) යුෂ, ඉස්ම, ඔජස."
සාව,"(පු) කඹුරුවන් පැහැය, බාලයා."
සාවක,"(පු) ශ්‍රාවකයා, ශාස්තෘන් වහන්සේගේ ගෝලයා, බාලයා."
"සාවක ","(3) අනුව යන්නා; අසන්නා; ධර්මය පිළිපදින්නා; ශ්‍රාවකයා; ශිෂ්‍යයා."
සාවකත්ත,"(න) ශ්‍රාවක බව."
සාවකත්ත,"(න) ශ්‍රාවකභාවය, ගෝලබව."
සාවකසංඝ,"(පු) ශ්‍රාවක පිරිස."
සාවකසඞ්ග,"(පු) ශ්‍රාවකසංඝයා."
සාවජ්ජ,"(න) වරද සහිත, දෝෂ සහිත."
"සාවජ්ජ ","(3) දොස් සහිත; ‍සදොස් වූ."
සාවජ්ජතා,"(ඉ) සදොස් බව."
"සාවට්ට ","(3) දියසුළි සහිත."
