වචනය,"සමාන පදමාලාව"
අ.,"1. සිංහල හෝඩියේ මුල් අකුර සහ එහි මුල් ස්වරය. <br>2. (ව්‍යාක.) විරුද්ධ ප්‍රතිෂේධ ආදි අර්ථවල යෙදෙන අව්‍යයක්; නිද. අකුසල්; අහිංසක. <br>3. විෂ්ණු දෙවි."
අං.,"[නා.ප්‍ර.] ගව, මුව ආදි සතුන්ගේ හිසෙහි ඉහළට නෙරා පවතින උල් අවයවය; අඟ; ශෘඞ්ගය."
"අං අත්ත.","[නා.] අතු වශයෙන් බෙදීගිය අඟ; අංපොකුර."
"අං ආබරණ.","[නා.බහු.] අංකෙළි පුදට යෝග්‍ය කොට පත්තිනි දෙවියන්ට කැප කළ අං."
"අං ඇදිල්ල, අං ඇදීම.","[නා.] විවිධ උවදුරු දුරු කිරීම සඳහා පත්තිනි දේවිය උදෙසා පැවැත්වෙන අභිචාර ක්‍රීඩාවක් හෙවත් රැඟුමක්."
"අංක, අඞ්ක.","[නා.ප්‍ර.] අංකය; අඞ්කය බ."
"අංක ගණිතය.","[නා.] ඉලක්කම් උපයෝගී කරගෙන ගණන් සෑදීමේ ශාස්ත්‍රය."
අංකනය.,"1. [නා.] ඉලක්කම්වලින් සංඛ්‍යා දැක්වීම; අංක යෙදීමේ කාර්යය. <br>2. [නා.] අංක රාශි ආදිය සංකේත මගින් නිරූපණය කිරීම; එසේ නිරූපිත සංකේත පද්ධතිය."
"අංකන සංගුණකය.","[නා.] වීජ ගණිතයෙහි ඝාතයක අංකයෙන් දක්වන සාධකය."
"අංකය, අඞ්කය.","1. [නා.] ඉලක්කම; සංඛ්‍යාව; 0 සිට 9 තෙක් ඕනෑ ම ඉලක්කමක් නිරූපණයට යොදන රූපය. <br>2. [නා.] ලකුණ; සටහන. <br>3. [නා.] පොත් සඟරා ආදියේ පරිච්ඡේදය/ කොටස. <br>4. [නා.] නාට්‍යයක ජවනිකාව"
"අංකරය, ඇංකරය.","1. (කථා.) [නා.] නැංගුරම. <br>2. [නා.] දබරය; පොරය; රණ්ඩුව."
අංකිත.,"[වි.] ලකුණු කරන ලද; ඉලක්කමෙන්/ අංකයෙන් දක්වන ලද."
"අංකිත කෝදුව.","[නා.] අනුපිළිවෙළින් අංක දක්වන මාන උපකරණය."
"අංකීරා, අංකූරා.","1. (කථා.) [නා.] කූරු වැනි උල් අං ඇති ගොනා; අනින ගොනා. <br>2. (රූඪි.) [නා.] කෛරාටික පුරුෂයා."
"අං කූටය.","1. [නා.] අත්පාවල මහ ඇඟිල්ල; මහපට ඇඟිල්ල. <br>2. [නා.] ඇතැම් මත්ස්‍යයන් ගේ එක් හකුවකින් වැඩී තිබෙන ඇඟිල්ලක් වැනි ස්පර්ශක උපාංගය."
අංකුට්ටා.,"[නා.] අඟුළු වර්ගයේ මිරිදිය මත්ස්‍යයෙක්."
"අංකුර බද්ධය.","[නා.] ශාකයක අංකුරයක් අනෙක් ශාකයකට සම්බන්ධ කිරීම."
"අංකුරය, අඞ්කුරය.","1. [නා.] ශාකයක නොවැඩුණු ළපටි අවස්ථාව. <br>2. (පාරිභා.) [නා.] ජීවියකුගේ ශරීරයෙන් ලියලා නව ජීවියකු බවට අලිංගික ව වැඩෙන නෙරුම(=bud)."
අංකුරිත.,"[වි.] අංකුර හටගත්; පැළ වූ."
අංකුරෝත්පත්තිය.,"[නා.] අංකුරයක උපත; ළපටි පැළ හටගැනීම."
